NCOR2	[15764598, 15837933, 15843525, 15691842, 15798084, 15774497, 15773917, 15832170, 15849266, 15729358, 15661858, 15811852, 15802375, 15857753, 15713534, 15870285, 15862975, 15805470]
ADARB1	[15556947, 15731336, 15624111, 15692744, 15464249, 15498668, 15530657, 15846525, 15655113, 15380184, 15381129, 15840813, 15522950, 15383678]
MCOLN1	[15070744, 15523648, 15350717, 15236718, 15178326, 15336987, 15350973, 15570434]
PHF6	[15580208, 15466013, 15241480]
ZNF336	[14522971]
SQSTM1	[15869408, 15798823, 15823798, 15826703, 15793865, 15804265, 15792894, 15870274, 15819411, 15838879, 15802564, 15812647, 15846513]
LCP2	[15699071, 15699116, 15661896, 15770651, 15864311, 15708849, 15743830, 15654340, 15668918]
GPS2	[12428007, 11217081, 11119584, 11931768, 11486030, 15159402, 12186428, 11080811]
CLUL1	[15747770, 15723005]
NARFL	[15847412, 15871441]
RAD17	[15509802, 15585577, 15466434, 15454530, 15725622, 15279787, 15734998, 15538388, 15485898, 15773892, 15598824, 15235112, 15629716, 15474420, 15260979, 15297881, 15752197, 15271990]
AUTS2	[12160723]
STRN4	[15785826, 15807611, 15805336]
CDH2	[15858215, 15483121, 15268533, 15660796, 15662031, 15124908, 15467763, 15696589, 15458849, 15713473, 14500366, 15551737, 15194693, 15108318, 15122902, 15673571, 12702661]
SYNPO	[12183909, 15659229, 15841212]
ASTN2	[15656990]
CBR1	[15831707, 15833691, 15831808, 15843543, 15866482, 15847460, 15821169, 15870184]
ATP6V1A	[12569096, 12588991, 12900422, 14646148, 14735354, 14760742, 14652018, 12839620, 15493335, 12734795, 15280510]
PSME2	[11162627, 11454412, 11093809, 11032729, 12419264, 12119343, 14597164, 14575237, 15571818, 11466372, 11012676, 10849367, 11689430, 11081519, 12672465, 12672449, 10952718, 11147828, 12407112, 11520051, 15373739, 14678786, 10799514, 10781831, 10835274, 11345588, 11098932, 12519221, 11169410, 12200048, 14729627, 11361031]
CHST7	[11944989, 10781596]
TMOD4	[11016930, 10497209, 10662549, 11716785, 12860419]
ESRRB	[15766247, 15770498, 15713377, 15857113]
PRIMA1	[15863693]
LGALS1	[15761764, 15778371, 15842952, 15756570, 15862866, 15872312, 15862903, 15782360, 15785741, 15769862, 15792515, 15864736, 15850413, 15769533, 15803410, 15861185, 15754003, 15832176, 15820131, 15784104, 15760658]
ASB3	[2147284, 8620724, 11111040, 1102005]
GPR135	[15308653, 15545826, 15300176, 15748960]
p44S10	[15860350, 10723133]
ARPM2	[11750065]
OPCML	[12074158, 12617969, 12850579, 15265982, 14755343, 14596858, 12819783]
NEK2	[15492258, 15572022, 15684383, 15388344, 15659651, 15479717, 15611654, 15548420]
RLN3	[15870918, 15872013, 15871046, 15870300]
CSHL1	[15799560, 15834295, 15850707, 15799563, 15860652, 15827325]
IDH3B	[10575215]
PADI1	[15869535]
LAMC3	[11162474, 10225960, 15239131]
CAPN12	[10964513, 11523006]
ATP2A2	[15872235, 15868983, 15868616, 15868972, 15872278, 15868981, 15861031, 15871247, 15869784, 15864138, 15869770, 15868966, 15865342, 15870318]
RXRB	[11750653, 14713920, 15450352, 15823568, 12381669, 12399542, 14993927, 14968360, 12909342, 11840500, 15107851, 12175732, 15306652]
PHAX	[15574332, 15574333, 12121638, 12192051]
NFYB	[15246108, 15599691, 15538050, 15243141, 15454570, 15302914, 15051045, 15342744, 15316020, 15720672]
RCHY1	[15677485, 15680511, 15699025, 15661401]
IL6	[15851643, 15837950, 15849208, 15848631, 15867790, 15867584, 15836828, 15870936, 15863389, 15849543, 15840692, 15843524, 15841170, 15837772, 15838231, 15836625, 15838484, 15866107, 15867179, 15843581, 15863388, 15863460, 15847059, 15844657, 15871447, 15868224, 15848626, 15857508, 15854282, 15843582, 15854944, 15867297, 15854664, 15851714, 15840051, 15863652, 15857074, 15845898, 15836849, 15867636, 15866974, 15847792, 15854750, 15869599, 15865553, 15840332, 15836676, 15864720, 15854666, 15859160, 15871661, 15856015, 15840903, 15870272, 15845639, 15837776, 15845479, 15846300, 15854301, 15854959, 15856048, 15858703, 15849476, 15843514, 15839837, 15869736, 15846030, 15860229, 15853913, 15840591, 15843032, 15851913, 15857177, 15850835, 15846489, 15851082, 15850933, 15838790, 15858615, 15868924, 15871192, 15867284, 15854258, 15843553, 15869050, 15851366, 15860712, 15871195, 15841081, 15847702, 15840433, 15847080, 15871519, 15860219, 15837583, 15857204, 15850715, 15871914, 15857163, 15842142, 15840749, 15851726, 15837717, 15866221, 15857923, 15853915, 15840215, 15845578, 15860738, 15848526, 15842940, 15867843, 15846105, 15854776, 15843549, 15855014, 15869463, 15838876, 15840745, 15869563, 15874892, 15854663, 15841043, 15841722, 15862781, 15868117, 15845563, 15866053, 15863365, 15864742, 15837947, 15838299, 15856952, 15870892, 15843034, 15838236, 15870175, 15872036, 15860671, 15860669, 15845391, 15870945, 15850408, 15860574, 15843537, 15845864, 15842138, 15867169, 15864020, 15838664, 15839423, 15867292, 15850754, 15836971, 15867183, 15837556, 15858808, 15868610, 15855262, 15860378, 15859240, 15855327, 15870626, 15838885, 15866772, 15857562, 15845623, 15849510, 15848524, 15859365, 15838561, 15855927, 15863947, 15843470, 15848049, 15847944, 15860640, 15863613, 15866588, 15862962, 15869467, 15838252, 15860475, 15863491, 15863596, 15843589, 15860745, 15863083, 15848385, 15860217, 15841608, 15853684, 15841013, 15846175, 15863490, 15870116, 15850931, 15854645, 15842800, 15861391, 15853597, 15837633, 15855050, 15867006, 15871561, 15850965, 15854217, 15855236, 15868900, 15837085, 15840993, 15862160, 15864048, 15843504, 15848525, 15842590, 15860795, 15865214, 15854760, 15849357, 15863586, 15836855, 15845478]
ZNF31	[14727196, 15570489]
ATP5J2	[15454418, 15375695, 15843467]
HRB2	[15357952, 15843523, 15160241]
HOXA13	[15094191, 15617687, 15342482, 15521984, 15385446, 15643670, 15333588, 15509224, 15809993, 15733672, 15073149]
HIST1H2AG	[12842467, 15610740, 15374037, 15657431, 15792956, 15546624, 15697098, 12956416, 15302851, 15871046]
NR1H2	[15855342, 15849729, 15865422, 15863269, 15865943, 15867355, 15861837]
DDX53	[15872398, 15871493, 15871300]
WNT1	[15609344, 15770241, 15649466, 15645143, 15659486, 15607945, 15703844, 15796911, 15790971, 15777744, 15702249, 15754011]
AMPH	[15795321, 15862888, 15866553, 15784965, 15820231, 15852055, 15833940]
ANXA2	[14763825, 15639099, 15302870, 15048081, 15526283, 15567461, 15766791, 14679310, 15870397, 15211578, 15869957, 15707847, 15012812, 15554585, 14685693, 14985510]
