#disease_state	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53
Probesets	GSM79144	GSM79118	GSM79147	GSM79241	GSM79122	GSM79227
1861_at	6.228075	7.064472	6.5288	6.381948	6.283077	6.536827
2028_s_at	6.985932	6.797933	6.59439	6.811322	6.849867	6.978669
243_g_at	8.662088	8.948909	9.067732	9.313984	9.517811	9.574646
266_s_at	9.544304	9.74325	10.30668	8.804496	8.54281	9.894935
31637_s_at	9.832474	9.599014	9.342971	9.190202	9.528323	9.472201
31799_at	4.586276	4.872048	5.228458	4.668342	5.458375	4.4768
31807_at	8.196045	8.727513	8.446815	8.310247	8.761798	8.443685
31826_at	8.6902	8.761349	9.228554	8.613511	8.435047	9.109263
31835_at	5.183464	4.95153	4.988535	5.013193	5.190872	5.082022
31837_at	9.799351	9.551723	9.545853	9.608186	9.574365	9.919457
31845_at	7.633466	7.738107	8.957818	8.18499	9.203271	8.431715
31846_at	10.185604	10.364477	10.389723	10.156991	10.144382	10.091038
31861_at	8.728166	8.702098	8.345863	8.706854	8.50345	8.481917
31874_at	8.690811	8.860646	8.577285	8.674765	8.885582	9.93191
32029_at	8.58435	8.427197	8.232451	8.628999	8.422888	8.333166
32032_at	8.506705	8.310916	8.28434	8.772699	8.34806	8.168421
32042_at	4.48652	4.721491	5.069953	4.568745	4.909196	4.835748
32062_at	5.94062	5.645885	5.650991	5.289743	6.077453	5.838041
32069_at	7.184502	7.730447	8.536716	7.283964	7.713238	7.682163
32088_at	3.696075	3.732044	4.185605	3.643566	3.541882	3.76352
32091_at	7.220983	8.004252	8.172479	7.803175	7.539715	7.746399
32094_at	7.515294	7.261497	7.407631	7.096234	7.710205	7.448844
32099_at	8.190792	7.561931	8.005088	7.447743	7.276969	7.169581
320_at	5.904118	6.605082	6.821547	6.388028	6.997037	6.199839
32128_at	5.176086	4.540907	4.383515	4.758199	4.473507	6.800928
32137_at	8.53934	8.229397	8.359892	9.241924	8.899535	8.525731
32209_at	9.128029	9.371755	9.181862	9.123813	9.846132	9.052569
32259_at	7.851499	7.827029	7.599472	8.06586	8.7602	7.618253
32402_s_at	7.36857	7.14653	6.889461	7.412816	7.13681	7.263067
32502_at	8.774613	7.603022	7.797656	7.531937	8.827465	7.653674
32540_at	5.470952	5.514653	5.354408	5.52802	5.625532	5.68931
32541_at	5.11707	5.212173	5.452869	5.417674	5.424446	4.9728
32625_at	6.818169	5.942256	6.081797	5.955087	6.109807	6.121094
32699_s_at	7.211929	6.883039	6.877747	7.016752	6.951374	7.109779
32723_at	5.57806	5.951257	5.463418	5.629784	5.593945	5.76788
32811_at	10.055491	9.48236	9.412188	9.640109	9.70922	9.091743
32836_at	9.379591	9.706928	9.192826	9.264948	9.536877	9.311168
32837_at	9.263414	8.839255	9.524056	8.728478	8.783039	8.530696
33132_at	8.587267	8.899494	8.987721	8.619726	10.227283	8.663736
33148_at	4.447234	4.15559	4.324575	4.35111	4.159773	4.724333
33197_at	6.936583	6.544202	6.405465	6.517719	6.627984	6.570448
33304_at	7.713793	8.271268	8.877317	7.689152	7.20919	8.574644
33307_at	7.006446	7.013029	7.191855	6.630727	6.215023	7.907722
33322_i_at	10.993913	10.293	11.904445	10.969605	11.682788	11.301614
33323_r_at	10.016343	9.235621	10.862302	9.864949	10.579273	10.07875
33494_at	5.780382	5.395913	5.114987	5.401906	5.323208	6.234547
33579_i_at	8.016325	7.838268	7.565734	7.712001	7.71834	8.021108
33646_g_at	5.32375	5.521822	5.574124	5.248856	5.330494	5.519991
336_at	7.942213	7.481786	7.471442	7.319998	7.511079	7.583329
33736_at	7.842089	7.686631	7.551468	7.539431	7.776423	7.542888
33760_at	6.497884	6.805848	7.498266	6.842221	6.588859	7.24752
33767_at	4.374261	4.516216	6.890563	5.345502	4.554435	4.602534
33768_at	9.448723	9.035691	8.889911	9.147677	9.417286	9.039513
33778_at	8.960868	9.06866	8.971783	8.853868	8.753286	9.236627
