ABCC1	12783859,12856092,12882957,12890151,8831715,9295302,9334225,9344662,9441948,9485377,10064732,10493829,10811882,10835642,10950878,11114332,11139250,11266082,11278596,11278867,11439001,11465409,11469806,11557130,11561076,11600213,11689020,11721885,11755464,11771758,11783953,11809686,11820781,11925441,11937269,11986944,11995968,11996108,12018890,12034727,12042670,12084474,12119019,12135486,12146977,12163030,12186871,12235150,12960109,14561746,14578045,14580377,14722114,14737110,14984901,15155846,15161912,15208328,15245331,15252017,15260484,15269137,15355964,15472893,15623154,15628876,15810950,15856298,15999530,16014004,16041239,16041243,16156793,16230346,16278376,16293801,16330681,16395283,16410721,16464259,16481346,16547352,16551273,16565074,16621983,16697012,16784241,16821592,16883578,16914551,16946557,16960658,17445775,17494643,17596751,17606722,17710652,17875533,17890284,17925548,1360704,7916458,8098549,8649356,17033200,17050692,17203221,17215852,17264072,17295059,17336270,17350479,17980150,18038766,12388549,12388627,12458196,12486126,12576456,12628490,12646196,12653207,12897808,12925771,12954082,12954620
ABCC10	14702039,14574404,16034073,17203221,15256465,12566991,12527806,12477932,11146224,8894702
ABCC11	12076558,11435397,12477932,12764137,15277376,15331440,15537867,16359813,16444273,17095618,12133003,11483364,11591886,11688999,11802779,11803621
ABCC12	12477932,12011458,11688999,11483364,11435397,16344560,15489334,14965249
ABCC13	10830953,12036298,12445816,12909339,14759258,8894702,15203202,16124856
ABCC2	12068294,12130697,12222674,12388192,12395335,12576456,12615054,12628490,12702717,12704183,12890151,12942343,17825285,17890284,17906856,17924828,17925548,17997497,18038766,18176959,12960109,14568249,15057744,15211708,15226675,15519273,15801936,15848949,15870973,15922475,16041239,16330681,16426233,16505951,16542205,16628674,16672223,16771603,16788565,16791115,16821592,16946557,17047488,17060857,17083032,17112803,17145840,17156953,17185998,17241877,17287630,17403188,17478601,17485564,17494643,17502832,17534875,17578901,17606722,17622941,18192894,7559771,8662992,8797578,9185779,9284939,9425227,9525973,9878557,10053008,10361853,10464142,10496535,10573531,11004020,11076395,11093739,11266082,11477083,11500505,11677213,11745434,11937269,11952788
ABCC3	9813153,9827529,9889399,10094960,10340910,10359813,10362653,10772892,11745434,11820781,11850532,12220224,12477932,12628490,12704183,14759258,15167703,15688370,15824121,16278398,16424827,16460798,16946557,17272513,17300812,17485564,17494643,17495421,18038766,8894702,9270026,9738950
ABCC4	16791115,17003774,17081983,17083032,17229149,17404579,17578901,17682070,17696930,17878487,17939016,17959747,18045536,2806887,7557451,8894702,9270026,9661885,10470083,11856762,11991713,12105214,12133003,12477932,12499391,12523936,12637526,12695538,12792791,12835412,12883481,14643890,15297306,15364914,15827327,16156793,16282361
ABCC5	8894702,9270026,9325169,9827529,10340910,10438534,10721709,10728601,10737800,10840050,10893247,12388627,12477932,12637526,12646196,12695538,14507663,15146197,15297306,15631998,15688370,15861033,16156793,17521428,17540771,17803828
ABCC6	16835894,17045963,17309461,17617515,17724214,17823974,17880583,18191640,3359381,4841083,8894702,8912525,9267806,9721217,9892204,10424734,10493829,10585762,10811882,10835642,10835643,10913334,10954200,11058917,11179012,11427982,11431746,11439001,11536079,11702217,11776382,11880368,15760889,15889270,15894595,15996518,16086317,16127278,16374464,16392638,16543900,12176944,12384774,12477932,12673275,12714611,12850230,12901863,14631379,15459974,15645653,15723264,15727254
ABCC6P1	12477932
ABCC8	9648840,9653196,9769320,10202168,10204114,10334322,10338089,10447255,10506167,10506587,10615958,10639163,11018078,11160857,11226335,11318841,11536079,11692183,11825905,11867634,11938023,12118200,12149601,12199344,12213829,12356945,12364426,16429405,16613899,16873704,16885549,16897043,17118480,17207885,17213273,17259403,17378627,17389331,17446535,17516295,17535866,17575084,17593344,7502040,7716547,7716548,7847376,7920639,8630239,8635661,8650576,8751851,12540637,12879777,12937135,12941782,12941953,14660679,14728986,15111507,15356046,15562009,15579781,15579791,15613469,15807877,15840308,15842514,16357843,16373383,16416420,8923011,9041101,9135131,9519757,17597441,17636114,17668386,17823772,17942821,17942822,18025408,18025464,18162506,9568693,9618169
ABCC9	12189208,12145195,12477932,12738227,12934053,14702039,15034580,15339904,16189514,16267564,16563363,16672225,16820413,18026101,8630239,8826984,9457174,9692785,9714850,9755153,10093054,10497157,10498831,10625598,11007308,11054556,11136227,11825905,12107410,12356945
ABCD1	12477932,12509471,12530690,12579499,12624723,14556192,14767898,15001567,15489334,15643618,15772093,15772651,15781447,16018167,16087056,17504626,17542813,17662307,17761426,1746561,6524872,6795626,7581394,7668254,7717396,7811247,7825602,7849723,7904210,7959759,8002973,8004093,8040304,8441467,8507690,8520725,8535452,8566952,8651290,9195223,9215666,9286695,9702690,10190819,10369742,10480364,10551832,10704444,10737980,10777694,10980539,11248239,11438993,11748843,11798073,11810273,11883941,11992258,12175782,12210797
ABCD1P1	8829626,9215666
ABCD1P2	9215666
ABCD1P3	9215666
ABCD1P4	9215666,10591208
ABCD2	16344560,17602313,16249184,15489334,12477932,11883941,10777694,10704444,10551832,10329405,10196381,9345306,9195160,8577752
ABCD3	12176987,8453064,11453642,11248239,1301179,1301993,1536884,8449508,12477932,16189514,16344115,16710414,17353931,17602313,10447258,10551832,10704444,10777694,9521874,9199576,9126326,8726233,11883941
ABCD4	12477932,15800013,15909363,16344560,9599016,9521874,12111378,9266848,9302272
ABCE1	7539425,16344560,8838820,9660177,9847332,9877446,11585831,11780123,12477932,12578357,12600646,14747530,15107989,15489334,15809757,16275648,8641422
ABCF1	9790762,10581359,10931828,12477932,14574404,15302935,15345747,15489334,16964243,17081983,17119950,17456004,17894550
ABCF2	12853948,10944468,10922475,10581359,9878413,8894702,11435397,12477932,12690205,11124703,15489334,16203778,16996567
ABCF3	16344560,15489334,14702039,12477932,11435397,8894702
ABCG1	16702602,16357317,16780588,16857950,16870176,16902247,17020879,17082211,17121837,17141191,17187964,17241464,17293612,17387528,17408620,17761632,8619474,8659545,8703120,9034316,9110174,10639163,10799558,10830953,10950923,11072082,11162488,11279031,11350058,11500512,11590207,12032171,12477932,14702039,15240127,15489334,15492319,15584507,15994327,16024918,16054053,16730733
