affy_Mouse430_2
Probe ID	Genbank Acc
1416454_s_at	NM_007392
1416455_a_at	NM_009964
1416456_a_at	BC011134
1416457_at	NM_016765
1416458_at	NM_007477
1416459_at	NM_007477
1416460_at	NM_019977
1416461_at	BE981338
1416462_at	BE981338
1416463_at	BE981338
1416464_at	NM_011403
1416465_a_at	BB037317
1416466_at	BB037317
1416467_at	L25126
1416468_at	NM_013467
1416469_at	BB705823
1416470_a_at	NM_133933
1416471_at	NM_133869
1416472_at	NM_025932
1416473_a_at	NM_020043
1416474_at	NM_020043
1416475_at	NM_019912
1416476_a_at	NM_019912
1416477_at	NM_019912
1416478_a_at	NM_008617
1416479_a_at	NM_025387
1416480_a_at	NM_019814
1416481_s_at	NM_019814
1416482_at	BB833716
1416483_at	BB833716
1416484_at	BB833716
1416485_at	NM_016897
1416486_at	NM_007926
1416487_a_at	NM_009534
1416488_at	U95826
1416489_at	NM_025951
1416490_at	NM_025458
1416491_at	NM_010950
1416492_at	NM_007633
1416493_at	NM_007838
1416494_at	NM_134104
1416495_s_at	NM_134104
1416496_at	BC010209
1416497_at	J05186
1416498_at	NM_008908
1416499_a_at	NM_011722
1416500_at	NM_030692
1416501_at	NM_011062
1416502_a_at	NM_016703
1416503_at	NM_016753
1416504_at	AF072370
1416505_at	NM_010444
1416506_at	NM_011968
1416507_at	NM_019953
1416508_at	AK005130
1416509_at	AV061337
1416510_at	NM_023167
1416511_a_at	NM_020006
1416512_at	NM_011956
1416513_at	BC026051
1416514_a_at	NM_007984
1416515_at	NM_007984
1416516_at	NM_007984
1416517_at	NM_015801
1416518_at	NM_138311
1416519_at	NM_018730
1416520_x_at	NM_018730
1416521_at	NM_009156
1416522_a_at	NM_013535
1416523_at	NM_011271
1416524_at	BB815380
1416525_at	BB815380
1416526_a_at	BC002187
1416527_at	NM_026405
1416528_at	NM_080559
1416529_at	U25633
1416530_a_at	BC003788
1416531_at	NM_010362
1416532_at	NM_133901
1416533_at	NM_053208
1416534_at	NM_011262
1416535_at	BC003746
1416536_at	NM_023431
1416537_at	NM_133930
1416538_at	NM_011734
1416539_at	NM_011734
1416540_at	BC003239
1416541_at	NM_009191
1416542_at	NM_009343
1416543_at	NM_010902
1416544_at	NM_007971
1416545_at	NM_133967
1416546_a_at	NM_011290
1416547_at	NM_025597
1416548_at	BB320416
1416549_at	BB320416
1416550_at	BB320416
1416551_at	NM_009722
1416552_at	NM_025274
1416553_at	NM_016665
1416554_at	NM_016861
1416555_at	NM_007915
1416556_at	NM_025982
1416557_a_at	U97079
1416558_at	NM_010790
1416559_at	NM_025897
1416560_at	NM_054055
1416561_at	AF326547
1416562_at	AF326547
1416563_at	NM_016748
1416564_at	NM_011446
1416565_at	NM_025628
1416566_at	NM_011499
1416567_s_at	NM_025983
1416568_a_at	AW228855
1416569_at	NM_019673
1416570_s_at	AK018125
1416571_at	NM_009423
1416572_at	NM_008608
1416573_at	BC018194
1416574_at	NM_023434
1416575_at	NM_009862
1416576_at	NM_007707
1416577_a_at	NM_019712
1416578_at	NM_019712
1416579_a_at	BC005618
1416580_a_at	NM_019719
1416581_at	AV095579
1416582_a_at	NM_007522
1416583_at	NM_007522
1416584_at	NM_008550
1416585_at	NM_019685
1416586_at	NM_008616
1416587_a_at	NM_009532
1416588_at	NM_008985
1416589_at	NM_009242
1416590_a_at	AF327929
1416591_at	AF327929
1416592_at	AF276917
1416593_at	AF276917
1416594_at	BI658627
1416595_at	NM_025485
1416596_at	BC010808
1416597_at	NM_008233
1416598_at	NM_031184
1416599_at	NM_031184
1416600_a_at	AF282255
1416601_a_at	AF282255
1416602_a_at	NM_011236
1416603_at	NM_009079
1416604_at	NM_025567
1416605_at	BC024944
1416606_s_at	BC024944
1416607_at	AI461712
1416608_a_at	NM_030561
1416609_at	NM_030561
1416610_a_at	NM_007711
1416611_at	BG965399
1416612_at	BI251808
1416613_at	BI251808
1416614_at	BC010712
1416615_at	NM_017393
1416616_s_at	NM_017393
1416617_at	NM_080575
1416618_at	NM_008911
1416619_at	BC003967
1416620_at	NM_018817
1416621_at	NM_008502
1416622_at	NM_033572
1416623_at	NM_013691
1416624_a_at	NM_019883
1416625_at	NM_009776
1416626_at	NM_011107
1416627_at	NM_016907
1416628_at	NM_025791
1416629_at	NM_009201
1416630_at	NM_008321
1416631_at	NM_026193
1416632_at	BC011081
1416633_a_at	NM_026635
1416634_at	NM_026635
1416635_at	NM_020561
1416636_at	NM_053075
1416637_at	NM_009207
1416638_at	NM_015772
1416639_at	NM_019741
1416640_at	NM_021487
1416641_at	NM_010715
1416642_a_at	BF608828
1416643_at	BF608828
1416644_a_at	NM_009153
1416645_a_at	NM_007423
1416646_at	NM_007423
1416647_at	NM_007533
1416648_at	NM_030238
1416649_at	NM_007443
1416650_at	NM_138954
1416651_at	NM_013859
1416652_at	NM_025711
1416653_at	NM_011504
1416654_at	NM_025286
1416655_at	NM_021550
1416656_at	NM_033444
1416657_at	NM_009652
1416658_at	U91905
1416659_at	AW701127
1416660_at	AW701127
1416661_at	AW701127
1416662_at	BI217574
1416663_at	NM_025358
1416664_at	NM_023223
1416665_at	AF098949
1416666_at	NM_009255
1416667_at	NM_007898
1416668_at	NM_025736
1416669_s_at	NM_013608
1416670_at	AY091600
1416671_a_at	NM_053177
1416672_s_at	NM_053177
1416673_at	NM_019517
1416674_at	D88187
1416675_s_at	NM_019676
1416676_at	NM_023125
1416677_at	NM_013475
1416678_at	NM_011991
1416679_at	BC009119
1416680_at	AK018443
1416681_at	AK018443
1416682_at	AK018443
1416683_at	NM_138749
1416684_at	NM_007991
1416685_s_at	NM_007991
1416686_at	BC021352
1416687_at	BC021352
1416688_at	NM_013669
1416689_at	NM_011656
1416690_at	NM_019581
1416691_at	NM_019581
1416692_at	NM_016706
1416693_at	NM_013519
1416694_at	NM_010294
1416695_at	BC002055
1416696_at	NM_080837
1416697_at	NM_010074
1416698_a_at	NM_016904
1416699_at	NM_026124
1416700_at	BC009002
1416701_at	BC009002
1416702_at	NM_009250
1416703_at	BC012235
1416704_at	BC012235
1416705_at	BG916066
1416706_at	BG916066
1416707_a_at	NM_025928
1416708_a_at	NM_027898
1416709_a_at	NM_031375
1416710_at	NM_026239
1416711_at	NM_009322
1416712_at	NM_008820
1416713_at	NM_026481
1416714_at	BG069095
1416715_at	NM_008126
1416716_at	NM_010112
1416717_at	NM_009420
1416718_at	NM_007529
1416719_a_at	NM_025963
1416720_at	AW539046
1416721_s_at	AW539046
1416722_at	NM_025812
1416723_at	AI639846
1416724_x_at	AI639846
1416725_at	AI639846
1416726_s_at	NM_133777
1416727_a_at	NM_025797
1416728_at	NM_009975
1416729_at	NM_008877
1416730_at	BC004574
1416731_at	BB166592
1416732_at	BB166592
1416733_at	NM_013791
1416734_at	NM_013791
1416735_at	NM_019734
1416736_at	NM_138660
1416737_at	NM_008195
1416738_at	NM_028227
1416739_a_at	NM_028227
1416740_at	AW744319
1416741_at	AW744319
1416742_at	NM_011801
1416743_at	NM_133806
1416744_at	NM_133806
1416745_x_at	NM_133806
1416746_at	NM_010436
1416747_at	NM_134100
1416748_a_at	NM_018736
1416749_at	NM_019564
1416750_at	NM_011014
1416751_a_at	NM_017397
1416752_at	NM_011918
1416753_at	NM_008923
1416754_at	NM_008923
1416755_at	AK002290
1416756_at	AK002290
1416757_at	BC027435
1416758_at	NM_133715
1416759_at	NM_138315
1416760_at	NM_134045
1416761_at	BC014753
1416762_at	NM_009112
1416763_at	NM_133837
1416764_at	NM_025562
1416765_s_at	NM_025571
1416766_at	NM_133684
1416767_a_at	NM_133697
1416768_at	NM_133697
